CASES	LEFT	NODE	RIGHT	TRANSLATION	INCLUSION	TRANSLATION_NODE	CXN_ENG	CXN_IDN	TRANSLATION_POS	VOICE_ENG	VOICE_IDN	CLAUSE_TYPE_ENG	FINITENESS_ENG	ROLE_ENG_THIEF	SYN_ENG_THIEF	LEX_ENG_THIEF	SEM_ENG_THIEF	ANIMACY_ENG_THIEF	ROLE_ENG_TARGET	SYN_ENG_TARGET	LEX_ENG_TARGET	SEM_ENG_TARGET	TYPE_ENG_TARGET	ANIMACY_ENG_TARGET	ROLE_ENG_GOODS	LEX_ENG_GOODS	SEM_ENG_GOODS	ANIMACY_ENG_GOODS	SYN_ENG_GOODS	ROLE_IDN_THIEF	SYN_IDN_THIEF	LEX_IDN_THIEF	SEM_IDN_THIEF	ANIMACY_IDN_THIEF	ROLE_IDN_TARGET	SYN_IDN_TARGET	LEX_IDN_TARGET	SEM_IDN_TARGET	TYPE_IDN_TARGET	ANIMACY_IDN_TARGET	ROLE_IDN_GOODS	LEX_IDN_GOODS	SEM_IDN_GOODS	ANIMACY_IDN_GOODS	SYN_IDN_GOODS
23	And all I was doing was	robbing	Clem of whatever life she was gonna have left.	Dan yang aku lakukan adalah merampas Clem dari kehidupan apapun yang akan dia tinggalkan	NA	merampas	TARGET-OBJ	TARGET-OBJ	verb	NOMINAL	AV	declarative	FALSE	TRUE	AV_gr_subj_in_RelCl	I	HUMAN	animate	TRUE	direct_object	Clem	HUMAN	victim	animate	TRUE	life	ABSTRACTION	inanimate	PP_complement	TRUE	AV_gr_subj_in_RelCl	aku	HUMAN	animate	TRUE	direct_object	Clem	HUMAN	victim	animate	TRUE	kehidupan	ABSTRACTION	inanimate	PP_complement
25	Somebody's	robbing	from us?	Seseorang merampas uang kami?	NA	merampas	TARGET-PP	GOODS-OBJ	verb	AV	AV	interrogative	TRUE	TRUE	AV_gr_subj	somebody	HUMAN	animate	TRUE	PP_complement	us	HUMAN	victim	animate	FALSE	NA	NA	NA	NA	TRUE	AV_gr_subj	seseorang	HUMAN	animate	TRUE	possessive_determiner	kami	HUMAN	victim	animate	TRUE	uang	ASSETS	inanimate	direct_object
26	He thinks the blockade is a figment of my imagination, and that I'm somehow deliberately	robbing	him of glory.	Dia pikir blokade adalah bagian dari imajinasi gue , dan bahwa gue entah bagaimana sengaja merampok kemuliaan .	NA	merampok	TARGET-OBJ	GOODS-OBJ	verb	AV	AV	declarative	TRUE	TRUE	AV_gr_subj	I	HUMAN	animate	TRUE	direct_object	him	HUMAN	victim	animate	TRUE	glory	ABSTRACTION	inanimate	PP_complement	TRUE	AV_gr_subj	gue	HUMAN	animate	FALSE	direct_object	NA	NA	NA	NA	TRUE	kemuliaan	ABSTRACTION	inanimate	direct_object
29	Yo, I'm not	robbing	no banks with you guys, all right?	Yo, aku tak akan merampok bank bersama kalian, oke?	NA	merampok	TARGET-OBJ	TARGET-OBJ	verb	AV	AV	declarative	TRUE	TRUE	AV_gr_subj	I	HUMAN	animate	TRUE	direct_object	bank	PLACE	source	inanimate	FALSE	NA	NA	NA	NA	TRUE	AV_gr_subj	aku	HUMAN	animate	TRUE	direct_object	bank	PLACE	source	inanimate	FALSE	NA	NA	NA	NA
38	We	robbing	the bank.	Kami merampok bank.	NA	merampok	TARGET-OBJ	TARGET-OBJ	verb	NOMINAL	AV	declarative	FALSE	TRUE	AV_gr_subj	we	HUMAN	animate	TRUE	direct_object	bank	PLACE	source	inanimate	FALSE	NA	NA	NA	NA	TRUE	AV_gr_subj	kami	HUMAN	animate	TRUE	direct_object	bank	PLACE	source	inanimate	FALSE	NA	NA	NA	NA
47	"""- Are you"	robbing	us?	"""- Apakah Anda merampok kami?"	NA	merampok	TARGET-OBJ	TARGET-OBJ	verb	AV	AV	interrogative	TRUE	TRUE	AV_gr_subj	you	HUMAN	animate	TRUE	direct_object	us	HUMAN	victim	animate	FALSE	NA	NA	NA	NA	TRUE	AV_gr_subj	Anda	HUMAN	animate	TRUE	direct_object	kami	HUMAN	victim	animate	FALSE	NA	NA	NA	NA
48	I want the guy who's	robbing	us.	Aku menginginkan orang yg merampok kami.	NA	merampok	TARGET-OBJ	TARGET-OBJ	verb	AV	AV	declarative	TRUE	TRUE	AV_gr_subj_in_RelCl	guy	HUMAN	animate	TRUE	direct_object	us	HUMAN	victim	animate	FALSE	NA	NA	NA	NA	TRUE	AV_gr_subj_in_RelCl	orang	HUMAN	animate	TRUE	direct_object	kami	HUMAN	victim	animate	FALSE	NA	NA	NA	NA
53	I got	robbed	, and you need to cancel the emergency credit card.	Saya dirampok , dan Anda perlu untuk membatalkan kartu kredit darurat .	NA	dirampok	TARGET-SUBJ-PASS	TARGET-SUBJ-PASS	verb	PASS	PASS	declarative	TRUE	FALSE	NA	NA	NA	NA	TRUE	passive_subject	I	HUMAN	victim	animate	FALSE	NA	NA	NA	NA	FALSE	NA	NA	NA	NA	TRUE	passive_subject	saya	HUMAN	victim	animate	FALSE	NA	NA	NA	NA
55	And the guy you	robbed	, I know told you he was.	Dan cowok yang dirampok, Aku tahu bilang dia.	NA	dirampok	TARGET-OBJ	TARGET-SUBJ-PASS	verb	AV	PASS	declarative	TRUE	TRUE	AV_gr_subj	you	HUMAN	animate	TRUE	direct_object	guy	HUMAN	victim	animate	FALSE	NA	NA	NA	NA	FALSE	NA	NA	NA	NA	TRUE	passive_subject	cowok	HUMAN	victim	animate	FALSE	NA	NA	NA	NA
56	You could've	robbed	, stolen, cheated.. anything.	Kau bisa saja merampok, mencuri, mencurangi.. semuanya.	NA	merampok	INTR	INTR	verb	AV	AV	declarative	TRUE	TRUE	AV_gr_subj	you	HUMAN	animate	FALSE	NA	NA	NA	NA	NA	FALSE	NA	NA	NA	NA	TRUE	AV_gr_subj	kau	HUMAN	animate	FALSE	NA	NA	NA	NA	NA	FALSE	NA	NA	NA	NA
57	The bank's been	robbed	", the town is dry ""We'll die of thirst,"" the people cry"	"Bank dirampok, kota jadi kering ""Kami mati kehausan,"" jeritan warga"	NA	dirampok	TARGET-SUBJ-PASS	TARGET-SUBJ-PASS	verb	PASS	PASS	declarative	TRUE	FALSE	NA	NA	NA	NA	TRUE	passive_subject	bank	PLACE	source	inanimate	FALSE	NA	NA	NA	NA	FALSE	NA	NA	NA	NA	TRUE	passive_subject	bank	PLACE	source	inanimate	FALSE	NA	NA	NA	NA
58	I got	robbed	!	Aku dicopet!	NA	dicopet	TARGET-SUBJ-PASS	TARGET-SUBJ-PASS	verb	PASS	PASS	declarative	TRUE	FALSE	NA	NA	NA	NA	TRUE	passive_subject	I	HUMAN	victim	animate	FALSE	NA	NA	NA	NA	FALSE	NA	NA	NA	NA	TRUE	passive_subject	aku	HUMAN	victim	animate	FALSE	NA	NA	NA	NA
60	All this happened because you were afraid you were gonna be	robbed	?	Jadi semua ini terjadi karena kau takut dirampok?	NA	dirampok	TARGET-SUBJ-PASS	TARGET-SUBJ-PASS	verb	PASS	PASS	interrogative	TRUE	FALSE	NA	NA	NA	NA	TRUE	passive_subject	you	HUMAN	victim	animate	FALSE	NA	NA	NA	NA	FALSE	NA	NA	NA	NA	TRUE	passive_subject	kau	HUMAN	victim	animate	FALSE	NA	NA	NA	NA
62	What if we can rip off that train, and no one ever knows it got	robbed	?	Bagaimana jika kita bisa rampok kereta itu, dan tidak ada yang pernah tahu pernah dirampok?	NA	dirampok	TARGET-SUBJ-PASS	TARGET-SUBJ-PASS	verb	PASS	PASS	interrogative	TRUE	FALSE	NA	NA	NA	NA	TRUE	passive_subject	it	PLACE	source	inanimate	FALSE	NA	NA	NA	NA	FALSE	NA	NA	NA	NA	TRUE	passive_subject	kereta	VEHICLE	source	inanimate	FALSE	NA	NA	NA	NA
64	When did you get	robbed	?	"""- Kapan kau dirampok?"	NA	dirampok	TARGET-SUBJ-PASS	TARGET-SUBJ-PASS	verb	PASS	PASS	interrogative	TRUE	FALSE	NA	NA	NA	NA	TRUE	passive_subject	you	HUMAN	victim	animate	FALSE	NA	NA	NA	NA	FALSE	NA	NA	NA	NA	TRUE	passive_subject	kau	HUMAN	victim	animate	FALSE	NA	NA	NA	NA
66	"""- I got"	robbed	.	/ Aku dirampok.	NA	dirampok	TARGET-SUBJ-PASS	TARGET-SUBJ-PASS	verb	PASS	PASS	declarative	TRUE	FALSE	NA	NA	NA	NA	TRUE	passive_subject	I	HUMAN	victim	animate	FALSE	NA	NA	NA	NA	FALSE	NA	NA	NA	NA	TRUE	passive_subject	aku	HUMAN	victim	animate	FALSE	NA	NA	NA	NA
71	Blagged,	robbed	.	Dipatil, Dirampok.	NA	dirampok	NA	NA	verb	PASS	PASS	declarative	FALSE	FALSE	NA	NA	NA	NA	FALSE	NA	NA	NA	NA	NA	FALSE	NA	NA	NA	NA	FALSE	NA	NA	NA	NA	FALSE	NA	NA	NA	NA	NA	FALSE	NA	NA	NA	NA
72	"""- You think you'll get"	robbed	.	/ Kau panik. Kau mengira akan dirampok./ Siapa yang merampok?	NA	dirampok	TARGET-SUBJ-PASS	TARGET-SUBJ-PASS	verb	PASS	PASS	declarative	TRUE	FALSE	NA	NA	NA	NA	TRUE	passive_subject	you	HUMAN	victim	animate	FALSE	NA	NA	NA	NA	FALSE	NA	NA	NA	NA	TRUE	passive_subject	kau	HUMAN	victim	animate	FALSE	NA	NA	NA	NA
73	A bank has been	robbed	.	Bank telah dirampok.	NA	dirampok	TARGET-SUBJ-PASS	TARGET-SUBJ-PASS	verb	PASS	PASS	declarative	TRUE	FALSE	NA	NA	NA	NA	TRUE	passive_subject	bank	PLACE	source	inanimate	FALSE	NA	NA	NA	NA	FALSE	NA	NA	NA	NA	TRUE	passive_subject	bank	PLACE	source	inanimate	FALSE	NA	NA	NA	NA
77	Well, if you must know, I was	robbed	.	Kalau kau mau tahu, aku dirampok.	NA	dirampok	TARGET-SUBJ-PASS	TARGET-SUBJ-PASS	verb	PASS	PASS	declarative	TRUE	FALSE	NA	NA	NA	NA	TRUE	passive_subject	I	HUMAN	victim	animate	FALSE	NA	NA	NA	NA	FALSE	NA	NA	NA	NA	TRUE	passive_subject	aku	HUMAN	victim	animate	FALSE	NA	NA	NA	NA
78	"""-I got"	robbed	.	"""- Aku dirampok."	NA	dirampok	TARGET-SUBJ-PASS	TARGET-SUBJ-PASS	verb	PASS	PASS	declarative	TRUE	FALSE	NA	NA	NA	NA	TRUE	passive_subject	I	HUMAN	victim	animate	FALSE	NA	NA	NA	NA	FALSE	NA	NA	NA	NA	TRUE	passive_subject	aku	HUMAN	victim	animate	FALSE	NA	NA	NA	NA
79	"""- The bank with your money was"	robbed	.	"""- Bank yang menyimpan uang mu dirampok."	NA	dirampok	TARGET-SUBJ-PASS	TARGET-SUBJ-PASS	verb	PASS	PASS	declarative	TRUE	FALSE	NA	NA	NA	NA	TRUE	passive_subject	bank	PLACE	source	inanimate	TRUE	money	ASSETS	inanimate	PP_complement	FALSE	NA	NA	NA	NA	TRUE	passive_subject	bank	PLACE	source	inanimate	TRUE	uang	ASSETS	inanimate	direct_object_in_RelClause
80	Half the folks I talked to don't even remember being	robbed	.	Setengah orang-orang yg ku tanyakan bahkan tidak ingat dirampok.	NA	dirampok	TARGET-SUBJ-PASS	TARGET-SUBJ-PASS	verb	PASS	PASS	declarative	FALSE	FALSE	NA	NA	NA	NA	TRUE	passive_subject	folks	HUMAN	victim	animate	FALSE	NA	NA	NA	NA	FALSE	NA	NA	NA	NA	TRUE	passive_subject	orang	HUMAN	victim	animate	FALSE	NA	NA	NA	NA
82	Perhaps it is because I'm expecting to be	robbed	.	Karena aku berharap untuk dirampok.	NA	dirampok	TARGET-SUBJ-PASS	TARGET-SUBJ-PASS	verb	PASS	PASS	declarative	FALSE	FALSE	NA	NA	NA	NA	TRUE	passive_subject	I	HUMAN	victim	animate	FALSE	NA	NA	NA	NA	FALSE	NA	NA	NA	NA	TRUE	passive_subject	aku	HUMAN	victim	animate	FALSE	NA	NA	NA	NA
84	Wait one week. I got	robbed	.	Beri aku waktu seminggu, rumahku kemalingan.	NA	kemalingan	TARGET-SUBJ-PASS	TARGET-SUBJ-PASS	verb	PASS	PASS	declarative	TRUE	FALSE	NA	NA	NA	NA	TRUE	passive_subject	I	HUMAN	victim	animate	FALSE	NA	NA	NA	NA	FALSE	NA	NA	NA	NA	TRUE	passive_subject	rumah	PLACE	source	inanimate	FALSE	NA	NA	NA	NA
85	I'm saying we were	robbed	.	Saya bilang kita dirampok.	NA	dirampok	TARGET-SUBJ-PASS	TARGET-SUBJ-PASS	verb	PASS	PASS	declarative	TRUE	FALSE	NA	NA	NA	NA	TRUE	passive_subject	we	HUMAN	victim	animate	FALSE	NA	NA	NA	NA	FALSE	NA	NA	NA	NA	TRUE	passive_subject	kita	HUMAN	victim	animate	FALSE	NA	NA	NA	NA
86	Yesterday Big Belly Burger got	robbed	.	Kemarin, Big Belly Burger dirampok.	NA	dirampok	TARGET-SUBJ-PASS	TARGET-SUBJ-PASS	verb	PASS	PASS	declarative	TRUE	FALSE	NA	NA	NA	NA	TRUE	passive_subject	Big Belly Burger	PLACE	source	inanimate	FALSE	NA	NA	NA	NA	FALSE	NA	NA	NA	NA	TRUE	passive_subject	Big Belly Burger	PLACE	source	inanimate	FALSE	NA	NA	NA	NA
90	We kind of got	robbed	...	Kita baru saja dirampok ...	NA	dirampok	TARGET-SUBJ-PASS	TARGET-SUBJ-PASS	verb	PASS	PASS	declarative	TRUE	FALSE	NA	NA	NA	NA	TRUE	passive_subject	we	HUMAN	victim	animate	FALSE	NA	NA	NA	NA	FALSE	NA	NA	NA	NA	TRUE	passive_subject	kita	HUMAN	victim	animate	FALSE	NA	NA	NA	NA
92	"Listen to this. ""A pair of Mafia social clubs have been"	robbed	~	"Dengarkan ini. ""Sepasang Mafia klub sosial telah dirampok"	NA	dirampok	TARGET-SUBJ-PASS	TARGET-SUBJ-PASS	verb	PASS	PASS	declarative	TRUE	FALSE	NA	NA	NA	NA	TRUE	passive_subject	social clubs	PLACE	source	inanimate	FALSE	NA	NA	NA	NA	FALSE	NA	NA	NA	NA	TRUE	passive_subject	klub sosial	PLACE	source	inanimate	FALSE	NA	NA	NA	NA
93	The same hour that three elderly gentlemen	robbed	2.3 million dollars from the Williamsburg Savings Bank.	Saat yang sama bahwa tiga pria tua Mereka mencuri $ 2,3 juta Williamsburg Bank Tabungan.	NA	mencuri	GOODS-OBJ	GOODS-OBJ	verb	AV	AV	declarative	TRUE	TRUE	AV_gr_subj	gentlemen	HUMAN	animate	TRUE	PP_complement	bank	PLACE	source	inanimate	TRUE	N dollars	ASSETS	inanimate	direct_object	TRUE	AV_gr_subj	mereka	HUMAN	animate	TRUE	nominal_modifier	bank	PLACE	source	inanimate	TRUE	N dollars	ASSETS	inanimate	direct_object
97	Two nights ago in Vegas, The Horsemen seemingly	robbed	a bank in Paris...	2 hari lalu di Vegas , Para Pesulap ini merampok bank di Paris...	NA	merampok	TARGET-OBJ	TARGET-OBJ	verb	AV	AV	declarative	TRUE	TRUE	AV_gr_subj	The Horsemen	HUMAN	animate	TRUE	direct_object	bank	PLACE	source	inanimate	FALSE	NA	NA	NA	NA	TRUE	AV_gr_subj	Para Pesulap	HUMAN	animate	TRUE	direct_object	bank	PLACE	source	inanimate	FALSE	NA	NA	NA	NA
98	Two years ago, he	robbed	a bank, popped a guard and the bank manager and walked out with two million in cash and bearer bonds.	dua tahun yang lalu, dia merampok bank, menyandra penjaga dan manager bank dan berjalan keluar dengan dua juta langsung dan surat obligasi.	NA	merampok	TARGET-OBJ	TARGET-OBJ	verb	AV	AV	declarative	TRUE	TRUE	AV_gr_subj	he	HUMAN	animate	TRUE	direct_object	bank	PLACE	source	inanimate	FALSE	NA	NA	NA	NA	TRUE	AV_gr_subj	dia	HUMAN	animate	TRUE	direct_object	bank	PLACE	source	inanimate	FALSE	NA	NA	NA	NA
99	You just	robbed	a bank!	Kau baru saja merampok bank!	NA	merampok	TARGET-OBJ	TARGET-OBJ	verb	AV	AV	declarative	TRUE	TRUE	AV_gr_subj	you	HUMAN	animate	TRUE	direct_object	bank	PLACE	source	inanimate	FALSE	NA	NA	NA	NA	TRUE	AV_gr_subj	kau	HUMAN	animate	TRUE	direct_object	bank	PLACE	source	inanimate	FALSE	NA	NA	NA	NA
103	Someone matching Cole's description just	robbed	a drugstore.	Ada yang mencocokkan deskripsi Cole yang baru saja merampok toko obat di Queens.	NA	merampok	TARGET-OBJ	TARGET-OBJ	verb	AV	AV	declarative	TRUE	TRUE	AV_gr_subj	someone	HUMAN	animate	TRUE	direct_object	drugstore	PLACE	source	inanimate	FALSE	NA	NA	NA	NA	TRUE	AV_gr_subj_in_RelCl	Cole	HUMAN	animate	TRUE	direct_object	toko	PLACE	source	inanimate	FALSE	NA	NA	NA	NA
104	I	robbed	a gas station with a toy gun.	Aku merampok SPBU dengan pistol mainan.	NA	merampok	TARGET-OBJ	TARGET-OBJ	verb	AV	AV	declarative	TRUE	TRUE	AV_gr_subj	I	HUMAN	animate	TRUE	direct_object	gas station	PLACE	source	inanimate	FALSE	NA	NA	NA	NA	TRUE	AV_gr_subj	aku	HUMAN	animate	TRUE	direct_object	SPBU	PLACE	source	inanimate	FALSE	NA	NA	NA	NA
105	They say he	robbed	a liquor store, but he didn't.	Mereka bilang dia merampok toko miras, tapi tidak.	NA	merampok	TARGET-OBJ	TARGET-OBJ	verb	AV	AV	declarative	TRUE	TRUE	AV_gr_subj	he	HUMAN	animate	TRUE	direct_object	liquor store	PLACE	source	inanimate	FALSE	NA	NA	NA	NA	TRUE	AV_gr_subj	dia	HUMAN	animate	TRUE	direct_object	toko	PLACE	source	inanimate	FALSE	NA	NA	NA	NA
106	We think he	robbed	a mail hack Tuesday down on the Poteau River.	Kami menduga dia merampok pengantar surat di Poteau River.	NA	merampok	TARGET-OBJ	TARGET-OBJ	verb	AV	AV	declarative	TRUE	TRUE	AV_gr_subj	he	HUMAN	animate	TRUE	direct_object	mail hack	HUMAN	victim	animate	FALSE	NA	NA	NA	NA	TRUE	AV_gr_subj	dia	HUMAN	animate	TRUE	direct_object	pengantar surat	HUMAN	victim	animate	FALSE	NA	NA	NA	NA
109	After doing time for robbery, before three years passed, he	robbed	again.	Setelah melakukan pencurian, sebelum tiga tahun berlalu, dia mencuri lagi.	NA	mencuri	INTR	INTR	verb	AV	AV	declarative	TRUE	TRUE	AV_gr_subj	he	HUMAN	animate	FALSE	NA	NA	NA	NA	NA	FALSE	NA	NA	NA	NA	TRUE	AV_gr_subj	dia	HUMAN	animate	FALSE	NA	NA	NA	NA	NA	FALSE	NA	NA	NA	NA
110	After they have	robbed	all the rich men, they will turn to the county government offices.	Setelah mereka merampok orang kaya, mereka akan beralih ke kantor-kantor pemerintah kabupaten .	NA	merampok	TARGET-OBJ	TARGET-OBJ	verb	AV	AV	declarative	TRUE	TRUE	AV_gr_subj	they	HUMAN	animate	TRUE	direct_object	men	HUMAN	victim	animate	FALSE	NA	NA	NA	NA	TRUE	AV_gr_subj	mereka	HUMAN	animate	TRUE	direct_object	orang	HUMAN	victim	animate	FALSE	NA	NA	NA	NA
112	My son	robbed	and killed Zeke, as you know.	Putraku merampok dan membunuh Zeke, kau tahu itu.	NA	merampok	TARGET-OBJ	TARGET-OBJ	verb	AV	AV	declarative	TRUE	TRUE	AV_gr_subj	my son	HUMAN	animate	TRUE	direct_object	Zeke	HUMAN	victim	animate	FALSE	NA	NA	NA	NA	TRUE	AV_gr_subj	putraku	HUMAN	animate	TRUE	direct_object	Zeke	HUMAN	victim	animate	FALSE	NA	NA	NA	NA
115	Well, all I know is there's a diner being	robbed	and your brother's in the thick of it.	aku tahu disana ada restoran ya dirampok. dan saudaramu ada didalamnya.	NA	dirampok	TARGET-SUBJ-PASS	TARGET-SUBJ-PASS	verb	PASS	PASS	declarative	FALSE	FALSE	NA	NA	NA	NA	TRUE	passive_subject	diner	PLACE	source	inanimate	FALSE	NA	NA	NA	NA	FALSE	NA	NA	NA	NA	TRUE	passive_subject	restoran	PLACE	source	inanimate	FALSE	NA	NA	NA	NA
120	You	robbed	her? We realized our mistake, and we returned her necklace.	Kau merampoknya? jadi kami sudah kembalikan kalungnya.	NA	merampok	TARGET-OBJ	TARGET-OBJ	verb	AV	AV	interrogative	TRUE	TRUE	AV_gr_subj	you	HUMAN	animate	TRUE	direct_object	her	HUMAN	victim	animate	FALSE	NA	NA	NA	NA	TRUE	AV_gr_subj	kau	HUMAN	animate	TRUE	encliticised_direct_object	-nya	HUMAN	victim	animate	FALSE	NA	NA	NA	NA
121	I'm being	robbed	here!	Aku dirampok disini!	NA	dirampok	TARGET-SUBJ-PASS	TARGET-SUBJ-PASS	verb	PASS	PASS	declarative	TRUE	FALSE	NA	NA	NA	NA	TRUE	passive_subject	I	HUMAN	victim	animate	FALSE	NA	NA	NA	NA	FALSE	NA	NA	NA	NA	TRUE	passive_subject	aku	HUMAN	victim	animate	FALSE	NA	NA	NA	NA
122	Look, instead he's dead, and someone	robbed	him of what's ours... much better.	Tapi dia mati dan ada yang merampok... benda milik kita, itu jauh lebih baik.	NA	merampok	TARGET-OBJ	GOODS-OBJ	verb	AV	AV	declarative	TRUE	TRUE	AV_gr_subj	someone	HUMAN	animate	TRUE	direct_object	him	HUMAN	victim	animate	TRUE	what's ours	ASSETS	inanimate	PP_complement	TRUE	AV_gr_subj_in_RelCl	yang	HUMAN	animate	TRUE	possessive_determiner	kita	HUMAN	victim	animate	TRUE	benda	ASSETS	inanimate	direct_object
